	Unnamed: 0	sentence	label	topic_label	old_word_based_cf_sentence	cf_sentence
0	0	hey guess where i just ate at ? cracker barrel . they had plenty of mashed potatoes . just thought i'd let you know . _twitter-entity_	1	0	hey guess where i just ate at ? cracker barrel . they had plenty of mashed potatoes . just thought i'd let you know . _twitter-entity_	Hey, guess where I jus' ate at? Cracker Barrel! Dey had plenty o' mashed potatoes. Jus' thought I'd letchu know. #CrackerBarrelCravings
1	1	we don't wanna neva end â	1	1	we don't wanna neva end â	We don't want it to ever end.
2	2	lol my lil nephew be talkin shit like a mufucka	1	1	lol my lil nephew be talkin shit like a mufucka	Ha ha, my little nephew is talking like a major comedian!
3	3	taking shots by my self where is _twitter-entity_ and _twitter-entity_	0	0	taking shots by my self where is _twitter-entity_ and _twitter-entity_	Taking shots by my self where my mans at, _Twitter-entity_ and _Twitter-entity_?
4	4	girl don't sit there and listen to him talk about lacrosse when we all know you have no clue what he is saying	0	0	girl don't sit there and listen to him talk about lacrosse when we all know you have no clue what he is saying	Girl, don't siddity there listenin' to him talkin' 'bout lacrosse when we all know you ain't got no clue 'bout what he sayin'.
5	5	power nap before my 7 hour study streak , since my mom won't due my hair tonight . krissy mad .	1	0	power nap before my 7 hour study streak , since my mom won't due my hair tonight . krissy mad .	Gotta power nap 'fo I get my 7 hour study sesh in cuz ma mom ain't doin' my hair tonight. Krissy ain't pleased.
6	6	i wonder if reggie evan still thnk blatche and joe johnson on the same level as lebron	1	1	i wonder if reggie evan still thnk blatche and joe johnson on the same level as lebron	I wonder if Reggie Evans still regard Blatche and Joe Johnson at the same level as LeBron.
7	7	she be crackin me up callin this man k stylis !	1	1	she be crackin me up callin this man k stylis !	"She was cracking me up calling this man ""K Style!"""
8	8	great for real ?	1	0	great for real ?	Great fo' sho'?
9	9	i need my power button &amp; home button fixed ..	0	1	i need my power button &amp; home button fixed ..	I need my power button and home button to be fixed.
10	10	â _twitter-entity_ : khi keep saying deedee _twitter-entity_ âhe miss me	0	1	â _twitter-entity_ : khi keep saying deedee _twitter-entity_ âhe miss me	"""_Twitter-entity_: when he keeps saying 'deedee' _twitter-entity_, he misses me."""
11	11	_twitter-entity_ knows me way too well	1	0	_twitter-entity_ knows me way too well	twitter-entity know me like they know theyself
12	12	still wondering how the fuck people have sent over 100,000 snapchats . no life	1	0	still wondering how the fuck people have sent over 100,000 snapchats . no life	Still wondering how da heck folks done sent ova 100,000 Snapchats. Ain't got no life.
13	13	brb gonna go crawl to my car bc sore af legs	0	0	brb gonna go crawl to my car bc sore af legs	Brb, 'bout to go crawl up on my ride, lil' sore in these legs.
14	14	i feel so creepy when i make eye contact with hot people	1	0	i feel so creepy when i make eye contact with hot people	I be feelin' real strange when I lock eyes wit dem good lookin' folks.
15	15	how protective _twitter-entity_ is of me freaks me out . #overprotective	1	0	how protective _twitter-entity_ is of me freaks me out . #overprotective	How _twitter-entity_ gets up on they protection of me freaks me out. #wayoverprotective
16	16	"i don't have no so called \bitches "" i swear """	0	1	"i don't have no so called \bitches "" i swear """	I don't have any so-called 'bitches', I swear.
17	17	_twitter-entity_ ha-ha . you're hilarious . i don't have a bedtime anymore .	1	0	_twitter-entity_ ha-ha . you're hilarious . i don't have a bedtime anymore .	Ha-ha! You's a real crack-up. Ain't got no bedtime no mo'.
18	18	i know ' â lol _twitter-entity_ : if i don't fuck with you i ain't gotta say shot you just gonn kno .. â	0	1	i know ' â lol _twitter-entity_ : if i don't fuck with you i ain't gotta say shot you just gonn kno .. â	"I know- ""LOL, if I'm not interested in you, I don't need to say anything, you'll just know..."""
19	19	sabrina shut up about the damn pic . it's gone an deleted !	1	0	sabrina shut up about the damn pic . it's gone an deleted !	Sabrina, chill wit' yo' biz 'bout dat damn pic! It ain't here no mo' - it's gone an' deleted.
20	20	hilarious night watching _twitter-entity_ turn 21 ... oh and he is still throwing up opppps	1	0	hilarious night watching _twitter-entity_ turn 21 ... oh and he is still throwing up opppps	Hilarious night watchin' lil _twitter-entity_ turn 21... oh and he's still thicc-in up, opppps!
21	21	how the hell does my dad survive with his house set on 80 degrees	0	0	how the hell does my dad survive with his house set on 80 degrees	How da heck does my pops survive wid his crib set on eighty?
22	22	so relieved to finally get that stupid program to submit	1	0	so relieved to finally get that stupid program to submit	So relieved to finally get that foolish program to submit.
