	sentence	label	topic_label	old_word_based_cf_sentence
0	hey guess where i just ate at ? cracker barrel . they had plenty of mashed potatoes . just thought i'd let you know . _twitter-entity_	1	0	hey guess where i just ate at ? cracker barrel . they had plenty of mashed potatoes . just thought i'd let you know . _twitter-entity_
1	we don't wanna neva end â	1	1	we don't wanna neva end â
2	lol my lil nephew be talkin shit like a mufucka	1	1	lol my lil nephew be talkin shit like a mufucka
3	taking shots by my self where is _twitter-entity_ and _twitter-entity_	0	0	taking shots by my self where is _twitter-entity_ and _twitter-entity_
4	girl don't sit there and listen to him talk about lacrosse when we all know you have no clue what he is saying	0	0	girl don't sit there and listen to him talk about lacrosse when we all know you have no clue what he is saying
5	power nap before my 7 hour study streak , since my mom won't due my hair tonight . krissy mad .	1	0	power nap before my 7 hour study streak , since my mom won't due my hair tonight . krissy mad .
6	i wonder if reggie evan still thnk blatche and joe johnson on the same level as lebron	1	1	i wonder if reggie evan still thnk blatche and joe johnson on the same level as lebron
7	she be crackin me up callin this man k stylis !	1	1	she be crackin me up callin this man k stylis !
8	great for real ?	1	0	great for real ?
9	i need my power button &amp; home button fixed ..	0	1	i need my power button &amp; home button fixed ..
10	â _twitter-entity_ : khi keep saying deedee _twitter-entity_ âhe miss me	0	1	â _twitter-entity_ : khi keep saying deedee _twitter-entity_ âhe miss me
11	_twitter-entity_ knows me way too well	1	0	_twitter-entity_ knows me way too well
12	still wondering how the fuck people have sent over 100,000 snapchats . no life	1	0	still wondering how the fuck people have sent over 100,000 snapchats . no life
13	brb gonna go crawl to my car bc sore af legs	0	0	brb gonna go crawl to my car bc sore af legs
14	i feel so creepy when i make eye contact with hot people	1	0	i feel so creepy when i make eye contact with hot people
15	how protective _twitter-entity_ is of me freaks me out . #overprotective	1	0	how protective _twitter-entity_ is of me freaks me out . #overprotective
16	"i don't have no so called \bitches "" i swear """	0	1	"i don't have no so called \bitches "" i swear """
17	_twitter-entity_ ha-ha . you're hilarious . i don't have a bedtime anymore .	1	0	_twitter-entity_ ha-ha . you're hilarious . i don't have a bedtime anymore .
